step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,1.4954775269081506,1.4154961242773705,1.905169073511963,-4.3811205957759904,-4.826646296178991,-0.0575373512488851,0.06348904081973321,0.19,0.0,1.028,1.0,0.0,0.0,0.0,0.0001,-0.0002,-0.0001,0.0002,0.0001,-0.0001,-0.0002,-0.0001,-0.0001,0.0001,0.0001,-0.0002,0.0,-0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0054,0.0047,-0.0029,0.0327,0.0277,0.014,0.0315,-0.1023,-0.0521,0.1078,0.0295,-0.029,-0.0964,-0.0738,-0.0432,0.044,0.0351,-0.0912,0.0209,-0.0324,0.0505,-0.0126,0.0504,0.0001,0.0037,-0.0003,-0.0328,0.0061,-0.0134,0.0621,-0.0004,0.0024,-0.0004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
2,0.004,1.4867152857165986,1.4058428316850125,1.9050343788094652,-4.3811205957759904,-4.826646296178991,-0.0771573512488851,0.06348904081973321,0.19,0.0,1.028,1.0,0.0001,-0.0001,0.0002,0.0003,-0.0003,-0.0004,0.0007,-0.0001,0.0005,-0.0002,0.0002,-0.0003,0.0001,-0.0002,0.0001,-0.0005,-0.0001,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0097,0.0113,-0.0058,0.073,-0.0837,0.1772,0.0999,-0.0547,-0.1397,0.251,-0.059,0.2869,-0.0239,0.1588,-0.114,0.0017,-0.1222,0.1497,-0.291,-0.0028,0.0807,0.008,0.1152,0.0005,0.0068,0.0,0.084,0.086,-0.0095,0.0515,-0.0003,0.002,-0.0004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
3,0.006,1.4779530445250466,1.3961895390926544,1.9048604441069676,-4.3811205957759904,-4.826646296178991,-0.0967773512488851,0.06348904081973321,0.1901,0.0001,1.028,1.0,0.0002,-0.0002,0.0005,0.0005,-0.0004,-0.0008,0.0015,-0.0004,0.0015,0.0003,0.0009,-0.0006,0.0001,0.0001,0.0005,-0.0017,0.0,0.0005,0.0,0.0007,0.0,0.0,0.0,0.0005,0.0005,-0.0001,0.0003,0.0,0.0,0.0,0.0209,0.0176,-0.0106,0.1195,-0.1763,0.3446,0.0947,-0.0253,-0.2308,0.3859,-0.146,0.5167,0.255,0.3542,-0.1574,0.0047,0.1213,0.2047,-0.5873,0.0118,0.1123,0.0244,0.1687,0.0008,0.0095,0.0003,0.1859,0.1612,-0.0076,0.0348,-0.0003,0.0013,-0.0004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
4,0.008,1.4691908033334946,1.3865362465002966,1.9046472694044698,-4.3811205957759904,-4.826646296178991,-0.1163973512488851,0.06348904081973321,0.1901,0.0001,1.0279,1.0,0.0004,-0.0005,0.001,0.0006,-0.0003,-0.0014,0.0024,-0.0007,0.0028,0.0005,0.0019,-0.001,0.0,0.0001,0.0009,-0.0032,0.0,0.0007,0.0001,0.0011,0.0,0.0001,0.0,0.001,0.0009,-0.0001,0.0004,0.0,0.0,0.0,0.0308,0.0219,-0.0119,0.1345,-0.2434,0.4446,0.0717,0.0283,-0.2692,0.4316,-0.1567,0.6065,0.1341,0.4903,-0.1869,-0.0537,0.0039,0.2064,-0.7555,0.0278,0.0964,0.0205,0.2298,0.001,0.0123,0.0004,0.2775,0.1814,-0.0145,0.0341,-0.0004,0.0015,-0.0005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
5,0.01,1.4604285621419426,1.3768829539079386,1.904394854701972,-4.3811205957759904,-4.826646296178991,-0.13601735124888512,0.06348904081973321,0.1902,0.0002,1.0279,1.0,0.0005,-0.0008,0.0015,0.0007,-0.0002,-0.002,0.0033,-0.001,0.0041,0.0006,0.0031,-0.0014,-0.0002,-0.0001,0.0014,-0.005,0.0001,0.0008,0.0001,0.0017,0.0,0.0001,0.0,0.0017,0.0013,-0.0001,0.0004,0.0,0.0,0.0,0.0395,0.0258,-0.0127,0.1477,-0.3022,0.5261,0.054,0.0749,-0.3027,0.4739,-0.1686,0.6828,0.025,0.6065,-0.2135,-0.1031,-0.0952,0.2128,-0.8998,0.0397,0.0833,0.0175,0.2817,0.0012,0.0146,0.0004,0.3597,0.2002,-0.02,0.0354,-0.0005,0.0018,-0.0006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
6,0.012,1.4516663209503906,1.3672296613155805,1.9041031999994742,-4.3811205957759904,-4.826646296178991,-0.15563735124888511,0.06348904081973321,0.1903,0.0002,1.0279,1.0,0.0007,-0.0011,0.0021,0.0011,0.0,-0.0027,0.0044,-0.0014,0.0055,0.0004,0.0045,-0.0019,-0.0005,-0.0005,0.0018,-0.0071,0.0002,0.001,0.0001,0.0023,0.0,0.0001,0.0,0.0026,0.0017,-0.0002,0.0005,0.0,0.0,0.0,0.0484,0.0299,-0.0155,0.1495,-0.359,0.6135,0.1879,0.1001,-0.3494,0.5396,-0.2052,0.6862,-0.0942,0.7195,-0.2266,-0.1513,-0.183,0.2315,-1.0403,0.0451,0.0663,0.0152,0.3201,0.0014,0.0164,0.0004,0.4376,0.2114,-0.0242,0.0377,-0.0004,0.0021,-0.0006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
7,0.014,1.4429040797588388,1.3575763687232225,1.9037723052969766,-4.3811205957759904,-4.826646296178991,-0.1752573512488851,0.06348904081973321,0.1904,0.0003,1.0278,1.0,0.0008,-0.0015,0.0028,0.0017,0.0003,-0.0035,0.0056,-0.0019,0.0069,0.0,0.0061,-0.0024,-0.0009,-0.001,0.0023,-0.0094,0.0003,0.0011,0.0002,0.003,0.0,0.0002,0.0,0.0036,0.0021,-0.0002,0.0006,0.0,0.0,0.0,0.056,0.0336,-0.0177,0.1494,-0.4082,0.689,0.3024,0.1209,-0.3877,0.5988,-0.2406,0.6919,-0.1977,0.8162,-0.2361,-0.1917,-0.2568,0.2559,-1.1631,0.0484,0.0502,0.0127,0.3534,0.0015,0.018,0.0004,0.5091,0.2205,-0.0279,0.0421,-0.0003,0.0024,-0.0007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
8,0.016,1.4341418385672868,1.3479230761308647,1.9034021705944788,-4.3811205957759904,-4.826646296178991,-0.1948773512488851,0.06348904081973321,0.1905,0.0004,1.0278,1.0,0.001,-0.002,0.0036,0.0025,0.0006,-0.0043,0.0069,-0.0024,0.0083,-0.0006,0.0079,-0.0028,-0.0013,-0.0016,0.0029,-0.012,0.0004,0.0011,0.0002,0.0038,0.0,0.0002,0.0,0.0048,0.0026,-0.0003,0.0007,0.0,0.0,0.0,0.0626,0.037,-0.0192,0.1472,-0.4508,0.7537,0.4005,0.1382,-0.4181,0.6524,-0.2749,0.6992,-0.288,0.8984,-0.2419,-0.2252,-0.3164,0.2865,-1.2703,0.0501,0.0346,0.0101,0.3823,0.0017,0.0194,0.0005,0.5748,0.2275,-0.0314,0.0483,-0.0002,0.0028,-0.0008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
9,0.018,1.4253795973757348,1.3382697835385067,1.9029927958919808,-4.3811205957759904,-4.826646296178991,-0.2144973512488851,0.06348904081973321,0.1907,0.0004,1.0278,1.0,0.0011,-0.0025,0.0044,0.0035,0.0009,-0.0052,0.0083,-0.0031,0.0097,-0.0013,0.0099,-0.0033,-0.0019,-0.0024,0.0036,-0.0147,0.0005,0.0012,0.0002,0.0046,0.0,0.0002,0.0,0.0061,0.0031,-0.0004,0.0008,0.0,0.0,0.0,0.0682,0.0401,-0.02,0.143,-0.4878,0.8088,0.4846,0.1529,-0.4412,0.7008,-0.308,0.7075,-0.3673,0.9677,-0.244,-0.2524,-0.3624,0.3231,-1.3636,0.0507,0.0194,0.0073,0.4075,0.0018,0.0206,0.0004,0.6352,0.2324,-0.0346,0.056,-0.0001,0.0032,-0.0008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
10,0.02,1.4166173561841828,1.3286164909461486,1.902544181189483,-4.3811205957759904,-4.826646296178991,-0.23411735124888514,0.06348904081973321,0.1908,0.0005,1.0277,1.0,0.0012,-0.003,0.0053,0.0043,0.001,-0.0061,0.0098,-0.0037,0.0111,-0.0023,0.0122,-0.0038,-0.0031,-0.0027,0.0042,-0.0177,0.0006,0.0012,0.0002,0.0054,0.0,0.0003,0.0,0.0076,0.0034,-0.0005,0.001,0.0,0.0001,0.0,0.0702,0.0456,-0.0185,0.1427,-0.4655,0.9231,0.4345,0.0691,-0.4579,0.7806,-0.3117,0.6887,-0.4917,1.1478,-0.2531,-0.6474,-0.1931,0.3274,-1.478,0.0388,-0.0174,-0.0056,0.3705,0.0031,0.0191,-0.0005,0.7613,0.1665,-0.0477,0.0903,0.0004,0.0057,-0.001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.3811205957759904,-4.826646296178991,-0.0575373512488851
