step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,1.8038036582515822,-0.2343184709555255,1.9419689158181548,-7.576253598967955,1.0655756646038046,-0.32508331471522395,0.1055644700183166,0.19,0.0,1.028,1.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,-0.0003,-0.0005,0.0,0.0,0.0,0.0,-0.0004,-0.0001,-0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0023,-0.0014,-0.0029,-0.0081,-0.013,0.0781,-0.0213,0.0006,0.0165,-0.0009,0.0565,-0.1359,-0.2602,0.0135,0.0178,-0.0022,0.0157,-0.1868,-0.043,-0.0277,0.0106,0.002,0.0275,0.0003,0.0191,0.0,0.0109,0.0093,0.0017,0.0345,0.0003,0.0009,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
2,0.004,1.7886511510536462,-0.2321873196263179,1.9412991291887243,-7.576253598967955,1.0655756646038046,-0.344703314715224,0.1055644700183166,0.19,0.0,1.028,1.0,0.0,-0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0002,-0.0004,-0.0012,0.0001,0.0001,0.0,0.0,-0.0006,-0.0002,-0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0052,-0.0024,-0.0072,-0.0135,-0.0389,0.0762,0.0707,0.0205,0.0178,0.007,0.0469,-0.0506,-0.3388,0.0372,0.0228,0.014,0.0039,-0.1317,-0.0361,-0.0365,0.0134,0.0034,0.0259,0.0002,0.0286,0.0,-0.0099,0.0111,0.0028,0.0349,0.0002,0.0013,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
3,0.006,1.7734986438557103,-0.2300561682971103,1.940590102559294,-7.576253598967955,1.0655756646038046,-0.36432331471522394,0.1055644700183166,0.19,0.0,1.028,1.0,0.0,-0.0001,0.0002,0.0003,0.0001,0.0001,0.0001,0.0002,-0.0004,-0.002,0.0002,0.0001,0.0001,0.0,-0.0008,-0.0002,-0.0002,0.0001,0.0,0.0002,0.0,0.0002,0.0,-0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0072,-0.0036,-0.0111,-0.0204,-0.06,0.0812,0.0861,0.0365,0.0251,0.0284,0.0165,-0.0072,-0.393,0.056,0.0304,0.0304,-0.008,-0.0937,-0.0273,-0.0457,0.0092,0.0004,0.0298,0.0001,0.0541,0.0,-0.0277,0.0072,-0.0006,0.0332,0.0001,0.0017,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
4,0.008,1.7583461366577744,-0.22792501696790265,1.9398418359298635,-7.576253598967955,1.0655756646038046,-0.38394331471522397,0.1055644700183166,0.19,0.0,1.0279,1.0,-0.0001,-0.0002,0.0003,0.0005,0.0002,0.0002,0.0002,0.0002,-0.0003,-0.0029,0.0004,0.0002,0.0002,0.0,-0.001,-0.0002,-0.0003,0.0001,0.0,0.0002,0.0,0.0004,0.0,-0.0001,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0089,-0.0045,-0.015,-0.0229,-0.0785,0.0812,0.0952,0.0546,0.0271,0.0438,-0.0181,0.0188,-0.4545,0.0713,0.0382,0.0463,-0.0334,-0.0757,-0.0162,-0.0531,0.008,-0.0022,0.0329,0.0,0.0757,0.0001,-0.0453,0.0062,-0.0034,0.0296,-0.0001,0.0019,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
5,0.01,1.7431936294598385,-0.22579386563869505,1.939054329300433,-7.576253598967955,1.0655756646038046,-0.40356331471522394,0.1055644700183166,0.1901,0.0,1.0279,1.0,-0.0001,-0.0003,0.0004,0.0007,0.0004,0.0002,0.0003,0.0001,-0.0003,-0.0039,0.0005,0.0003,0.0003,-0.0002,-0.0011,-0.0003,-0.0004,0.0001,0.0,0.0003,0.0,0.0005,0.0,-0.0003,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0104,-0.0056,-0.0183,-0.0252,-0.0946,0.0806,0.107,0.0702,0.0286,0.0557,-0.0467,0.0496,-0.5054,0.085,0.045,0.059,-0.0548,-0.0567,-0.0061,-0.0595,0.0084,-0.0039,0.0349,-0.0001,0.0941,0.0001,-0.0614,0.0068,-0.0052,0.0266,-0.0003,0.0021,0.0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
6,0.012,1.7280411222619025,-0.22366271430948745,1.9382275826710027,-7.576253598967955,1.0655756646038046,-0.42318331471522397,0.1055644700183166,0.1901,0.0,1.0279,1.0,-0.0001,-0.0004,0.0005,0.0009,0.0005,0.0003,0.0004,0.0,-0.0001,-0.005,0.0007,0.0004,0.0004,-0.0003,-0.0011,-0.0003,-0.0006,0.0001,0.0,0.0004,0.0,0.0008,0.0,-0.0004,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0115,-0.0067,-0.0202,-0.0302,-0.1078,0.0825,0.1192,0.0818,0.0337,0.0655,-0.0694,0.0807,-0.5283,0.0979,0.0485,0.0664,-0.0569,-0.0184,0.001,-0.0659,0.0089,-0.0044,0.0362,-0.0002,0.1077,0.0001,-0.0751,0.0074,-0.0057,0.0263,-0.0003,0.0023,0.0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
7,0.014,1.7128886150639668,-0.22153156298027984,1.9373615960415722,-7.576253598967955,1.0655756646038046,-0.44280331471522394,0.1055644700183166,0.1901,-0.0001,1.0278,1.0,-0.0002,-0.0005,0.0006,0.0012,0.0007,0.0004,0.0005,-0.0002,0.0001,-0.0061,0.0009,0.0005,0.0006,-0.0004,-0.0011,-0.0002,-0.0007,0.0001,0.0,0.0004,0.0,0.001,0.0,-0.0006,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0124,-0.0078,-0.0216,-0.0346,-0.1191,0.0834,0.134,0.092,0.0379,0.0723,-0.0876,0.1159,-0.5475,0.1093,0.0518,0.072,-0.059,0.0172,0.0078,-0.0715,0.0112,-0.0042,0.0364,-0.0002,0.119,0.0001,-0.0875,0.0097,-0.0055,0.0262,-0.0004,0.0025,0.0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
8,0.016,1.697736107866031,-0.21940041165107224,1.9364563694121417,-7.576253598967955,1.0655756646038046,-0.46242331471522397,0.1055644700183166,0.1901,-0.0001,1.0278,1.0,-0.0002,-0.0006,0.0006,0.0015,0.0009,0.0005,0.0007,-0.0003,0.0002,-0.0072,0.0012,0.0006,0.0007,-0.0005,-0.001,-0.0002,-0.0009,0.0002,0.0,0.0005,0.0,0.0013,0.0,-0.0008,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0135,-0.0086,-0.0222,-0.0311,-0.1298,0.0803,0.1581,0.0995,0.0384,0.0819,-0.0715,0.0187,-0.5856,0.1187,0.0518,0.0792,-0.0755,0.0298,0.0159,-0.0747,0.0175,-0.004,0.0387,-0.0003,0.1286,0.0001,-0.0997,0.0161,-0.0051,0.0245,-0.0005,0.0026,0.0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
9,0.018,1.682583600668095,-0.2172692603218646,1.935511902782711,-7.576253598967955,1.0655756646038046,-0.482043314715224,0.1055644700183166,0.1902,-0.0001,1.0277,1.0,-0.0003,-0.001,0.0014,0.0005,0.0012,0.0008,0.0014,-0.0007,-0.0002,-0.0088,0.0024,0.001,0.0007,-0.0014,-0.0007,-0.0023,-0.0011,0.0001,0.0004,0.001,0.0,0.0017,-0.0001,-0.0015,-0.0001,-0.0001,0.0015,0.0005,0.0,0.0004,0.0288,-0.0195,-0.0099,-0.1373,-0.3302,0.7698,-0.5133,0.1533,0.1993,0.3482,-0.1781,-0.1812,-0.7819,0.6125,0.1957,-0.0119,-0.4525,0.1738,-1.0596,-0.097,-0.0314,0.2363,0.2562,-0.0006,0.1982,-0.0609,-0.3472,-0.1145,-0.0208,0.5162,0.2737,-0.0129,0.1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
10,0.02,1.667431093470159,-0.215138108992657,1.9345281961532808,-7.576253598967955,1.0655756646038046,-0.501663314715224,0.1055644700183166,0.1903,-0.0002,1.0277,1.0,-0.0006,-0.0015,0.0028,-0.0014,0.0019,0.0017,0.0021,-0.0004,-0.0007,-0.0104,0.0049,0.0018,-0.0001,-0.0027,-0.0001,-0.0062,-0.0014,-0.0001,0.0014,0.0018,0.0,0.0022,-0.0003,-0.0027,-0.0006,-0.0002,0.0035,0.0016,0.0,0.0011,0.0484,-0.0333,-0.0117,-0.271,-0.539,1.3763,-0.9428,0.3196,0.4104,0.3579,0.1693,-0.2737,-0.7907,1.2373,0.4132,-0.3819,-0.6201,0.292,-1.9425,-0.1705,-0.1068,0.4658,0.3937,-0.0007,0.256,-0.113,-0.5904,-0.2722,-0.0581,0.9909,0.5114,-0.0273,0.3695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.576253598967955,1.0655756646038046,-0.32508331471522395
