step,time,obst_px,obst_py,obst_pz,obst_vx,obst_vy,obst_vz,obst_radius,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,qvel_28,qvel_29,qvel_30,qvel_31,qvel_32,cap_site_0_head_sensor_0,cap_site_1_head_sensor_1,cap_site_2_head_sensor_2,cap_site_3_head_sensor_3,cap_site_4_head_sensor_4,cap_site_5_head_sensor_5,cap_site_6_torso_sensor_0,cap_site_7_torso_sensor_1,cap_site_8_torso_sensor_2,cap_site_9_torso_sensor_3,cap_site_10_torso_sensor_4,cap_site_11_torso_sensor_5,cap_site_12_torso_sensor_6,cap_site_13_torso_sensor_7,cap_site_14_torso_sensor_8,cap_site_15_torso_sensor_9,cap_site_16_torso_sensor_10,cap_site_17_left_shoulder_roll_sensor_0,cap_site_18_left_shoulder_roll_sensor_1,cap_site_19_left_shoulder_roll_sensor_2,cap_site_20_left_shoulder_roll_sensor_3,cap_site_21_left_shoulder_roll_sensor_4,cap_site_22_left_shoulder_roll_sensor_5,cap_site_23_left_shoulder_roll_sensor_6,cap_site_24_left_shoulder_roll_sensor_7,cap_site_25_left_shoulder_yaw_sensor_0,cap_site_26_left_shoulder_yaw_sensor_1,cap_site_27_left_shoulder_yaw_sensor_2,cap_site_28_left_shoulder_yaw_sensor_3,cap_site_29_left_shoulder_yaw_sensor_4,cap_site_30_left_shoulder_yaw_sensor_5,cap_site_31_left_elbow_sensor_0,cap_site_32_left_elbow_sensor_1,cap_site_33_left_elbow_sensor_2,cap_site_34_left_elbow_sensor_3,cap_site_35_left_elbow_sensor_4,cap_site_36_left_elbow_sensor_5,cap_site_37_left_elbow_sensor_6,cap_site_38_left_elbow_sensor_7,cap_site_39_left_elbow_sensor_8,cap_site_41_right_shoulder_roll_sensor_0,cap_site_42_right_shoulder_roll_sensor_1,cap_site_43_right_shoulder_roll_sensor_2,cap_site_44_right_shoulder_roll_sensor_3,cap_site_45_right_shoulder_roll_sensor_4,cap_site_46_right_shoulder_roll_sensor_5,cap_site_47_right_shoulder_roll_sensor_6,cap_site_48_right_shoulder_roll_sensor_7,cap_site_49_right_shoulder_yaw_sensor_0,cap_site_50_right_shoulder_yaw_sensor_1,cap_site_51_right_shoulder_yaw_sensor_2,cap_site_52_right_shoulder_yaw_sensor_3,cap_site_53_right_shoulder_yaw_sensor_4,cap_site_54_right_shoulder_yaw_sensor_5,cap_site_55_right_elbow_sensor_0,cap_site_56_right_elbow_sensor_1,cap_site_57_right_elbow_sensor_2,cap_site_58_right_elbow_sensor_3,cap_site_59_right_elbow_sensor_4,cap_site_60_right_elbow_sensor_5,cap_site_61_right_elbow_sensor_6,cap_site_62_right_elbow_sensor_7,cap_site_63_right_elbow_sensor_8,cmd_vx,cmd_vy,cmd_vz
1,0.002,-0.1381022525394029,0.22267462334518107,1.1648130713447402,4.0957531156805285,-0.004214102835592799,2.6291581245002558,0.1250100761529788,0.1899,0.0,1.028,1.0,0.0001,0.0001,0.0003,0.0004,-0.002,-0.0002,0.003,-0.001,-0.0004,-0.0014,-0.0034,-0.0002,0.0061,-0.0027,-0.0005,-0.0016,0.0,0.0004,0.0001,0.0006,0.0,0.0001,-0.0004,-0.0004,-0.0005,0.0011,0.0006,0.0007,0.0004,-0.0005,-0.049,0.0121,0.0191,0.0527,0.1265,0.2918,0.1791,-0.9876,-0.0768,1.5149,-0.5069,-0.1882,-0.6876,-1.721,-0.0816,3.0618,-1.3307,-0.2596,-0.7822,-0.0237,0.177,0.0474,0.2945,0.0119,0.0463,-0.2084,-0.1806,-0.2444,0.5396,0.2819,0.372,0.2071,-0.2623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
2,0.004,-0.12991074630804184,0.2226661951395099,1.1700517675937407,4.0957531156805285,-0.004214102835592799,2.6095381245002556,0.1250100761529788,0.1897,0.0,1.0281,1.0,0.0001,0.0003,0.0007,0.0009,-0.0039,-0.0003,0.0058,-0.0022,-0.0008,-0.0039,-0.01,-0.0004,0.0183,-0.0083,-0.0002,-0.0045,0.0,0.0011,0.0003,0.0017,0.0002,0.0004,-0.0008,-0.0013,-0.0004,0.0026,0.0018,0.0016,0.0014,-0.0012,-0.0762,0.0097,0.029,0.0663,0.1541,0.385,0.2623,-0.9779,-0.0568,1.3613,-0.5992,-0.2284,-1.2711,-3.2746,-0.0986,6.1085,-2.834,0.143,-1.4731,0.0268,0.3833,0.102,0.5615,0.0662,0.1555,-0.2024,-0.4674,0.0556,0.7596,0.6327,0.4403,0.4907,-0.3217,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
3,0.006,-0.12171924007668078,0.2226577669338387,1.1752512238427413,4.0957531156805285,-0.004214102835592799,2.589918124500256,0.1250100761529788,0.1895,0.0001,1.0282,1.0,0.0002,0.0005,0.0012,0.0016,-0.0059,-0.0004,0.0083,-0.0035,-0.0013,-0.0076,-0.0196,-0.0006,0.0366,-0.0169,0.0008,-0.0088,0.0002,0.0023,0.0006,0.0034,0.0004,0.0009,-0.0012,-0.0028,0.0003,0.0046,0.0038,0.0026,0.0029,-0.0019,-0.1045,0.008,0.037,0.0873,0.1852,0.4755,0.359,-0.9996,-0.0509,1.2564,-0.6654,-0.2269,-1.8178,-4.8152,-0.1193,9.1192,-4.2999,0.5026,-2.1629,0.0777,0.5885,0.1558,0.8238,0.1125,0.2504,-0.1974,-0.7678,0.3521,0.9785,0.9785,0.4881,0.7311,-0.3783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.876569483784212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
4,0.008,-0.11352773384531972,0.2226493387281675,1.1804114400917418,4.0957531156805285,-0.004214102835592799,2.5702981245002556,0.1250100761529788,0.1893,0.0001,1.0282,1.0,0.0003,0.0007,0.0017,0.0029,-0.0081,-0.0004,0.0108,-0.0043,-0.0017,-0.0123,-0.0322,-0.0009,0.0607,-0.0286,0.0015,-0.0146,0.0004,0.0039,0.001,0.0055,0.0007,0.0016,-0.0016,-0.005,0.0016,0.0069,0.0064,0.0036,0.0047,-0.0028,-0.1314,0.0068,0.036,0.1247,0.2096,0.5833,0.6613,-1.1009,-0.0041,1.2823,-0.37,-0.1945,-2.3868,-6.3121,-0.132,12.0608,-5.8574,0.3522,-2.8686,0.1284,0.7972,0.207,1.0725,0.1519,0.3311,-0.1935,-1.0783,0.649,1.195,1.3053,0.5174,0.9335,-0.433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.731710737125573,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.291726895668901,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
5,0.01,-0.10533622761395867,0.22264091052249632,1.1855324163407424,4.0957531156805285,-0.004214102835592799,2.550678124500256,0.1250100761529788,0.189,0.0001,1.0283,1.0,0.0005,0.0009,0.0024,0.0049,-0.0103,-0.0004,0.0138,-0.0047,-0.0022,-0.019,-0.048,-0.0016,0.0927,-0.0398,0.0019,-0.0217,0.0008,0.0059,0.0015,0.0081,0.0011,0.0024,-0.002,-0.0078,0.0035,0.0098,0.0096,0.0047,0.0069,-0.0038,-0.1467,0.0131,0.011,0.2021,0.1931,0.6639,1.0096,-1.0862,0.0003,1.5042,-0.2262,-0.2765,-3.3583,-7.879,-0.3857,16.0042,-5.5564,0.2098,-3.5554,0.1951,1.004,0.2525,1.2904,0.1851,0.4016,-0.1904,-1.3955,0.9411,1.4077,1.5879,0.5297,1.1026,-0.4875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.083443003608418,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.7521772681349885,-1.0,6.8470044168242765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
6,0.012,-0.09714472138259761,0.22263248231682514,1.190614152589743,4.0957531156805285,-0.004214102835592799,2.5310581245002557,0.1250100761529788,0.1886,0.0001,1.0283,1.0,0.0008,0.0011,0.0032,0.0075,-0.0126,-0.0002,0.0173,-0.0049,-0.0029,-0.0265,-0.0667,-0.0024,0.1301,-0.0543,0.002,-0.0302,0.0013,0.0083,0.0021,0.0111,0.0015,0.0033,-0.0024,-0.0112,0.006,0.013,0.0134,0.0058,0.0094,-0.0048,-0.1762,0.0132,-0.0011,0.2399,0.2301,0.7565,1.2795,-1.1634,0.0646,1.7243,-0.0837,-0.3536,-3.7282,-9.3494,-0.3751,18.6974,-7.2785,0.0534,-4.2454,0.2457,1.2052,0.3034,1.4924,0.213,0.4622,-0.1882,-1.7159,1.2237,1.6258,1.8933,0.5297,1.2426,-0.542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.469374533586466,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.853303307544565,-1.0,8.262301869129963,-1.0,7.197505053862045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
7,0.014,-0.08895321515123655,0.22262405411115396,1.1956566488387435,4.0957531156805285,-0.004214102835592799,2.511438124500256,0.1250100761529788,0.1882,0.0002,1.0282,1.0,0.0011,0.0014,0.004,0.01,-0.015,-0.0003,0.0204,-0.0061,-0.0039,-0.0346,-0.0884,-0.0033,0.173,-0.0718,0.0018,-0.04,0.0019,0.0111,0.0028,0.0144,0.002,0.0043,-0.0027,-0.0153,0.009,0.0167,0.0177,0.0068,0.0121,-0.006,-0.2104,0.0198,-0.0129,0.3145,0.2876,0.8183,1.2351,-1.1666,-0.0454,1.575,-0.5834,-0.4697,-4.0572,-10.8608,-0.4334,21.4288,-8.7542,-0.1031,-4.912,0.3034,1.4061,0.3495,1.6888,0.2367,0.516,-0.1866,-2.0455,1.5025,1.8409,2.1815,0.5148,1.3585,-0.5983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.89229938870808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.8144956119789395,-1.0,-1.0,-1.0,7.232995041672309,-1.0,8.817484333333871,-1.0,7.561047778285691,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
8,0.016,-0.0807617089198755,0.22261562590548276,1.200659905087744,4.0957531156805285,-0.004214102835592799,2.4918181245002557,0.1250100761529788,0.1877,0.0002,1.0281,1.0,0.0015,0.0018,0.0054,0.009,-0.0182,-0.0005,0.0263,-0.0071,-0.0049,-0.0442,-0.112,-0.0047,0.22,-0.0881,0.0012,-0.052,0.0025,0.0141,0.0038,0.0183,0.0024,0.0053,-0.0035,-0.0196,0.0125,0.0208,0.0224,0.0085,0.0151,-0.0076,-0.244,0.0309,-0.048,0.4245,0.3732,1.4456,-0.4845,-1.6287,-0.0745,2.9277,-0.5201,-0.518,-4.7802,-11.7902,-0.7231,23.5061,-8.1471,-0.2866,-5.9918,0.2799,1.502,0.4899,1.9016,0.2227,0.5117,-0.3828,-2.1596,1.759,2.0318,2.3193,0.8724,1.4633,-0.7931,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.35150886566481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.21913360447048,-1.0,-1.0,-1.0,7.6431276826863295,-1.0,9.430669512007846,-1.0,7.945943510339413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
9,0.018,-0.07257020268851444,0.22260719769981158,1.2056239213367441,4.0957531156805285,-0.004214102835592799,2.4721981245002556,0.1250100761529788,0.1872,0.0003,1.028,1.0,0.0021,0.0022,0.0074,0.0064,-0.0223,-0.0009,0.0333,-0.0099,-0.006,-0.0547,-0.1369,-0.0068,0.2699,-0.1032,0.0003,-0.0659,0.003,0.0173,0.0051,0.0225,0.0028,0.0064,-0.0046,-0.0242,0.0165,0.0252,0.0273,0.0109,0.0181,-0.0096,-0.2696,0.0459,-0.0779,0.5624,0.4308,1.9524,-1.2936,-2.0493,-0.2181,3.5255,-1.418,-0.5265,-5.2823,-12.4654,-1.0577,24.9481,-7.5169,-0.4582,-6.9681,0.2858,1.5896,0.6223,2.1323,0.2145,0.5195,-0.5552,-2.2647,2.016,2.224,2.4664,1.2066,1.5323,-0.9634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.854523461694425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.662833508845462,-1.0,-1.0,-1.0,8.085194390713507,-1.0,10.107862883115526,-1.0,8.350428930035356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
10,0.02,-0.06437869645715337,0.2225987694941404,1.2105486975857447,4.0957531156805285,-0.004214102835592799,2.452578124500256,0.1250100761529788,0.1866,0.0004,1.0278,0.9999,0.0028,0.0026,0.0097,0.0041,-0.0272,-0.0019,0.0416,-0.0146,-0.0072,-0.0659,-0.1628,-0.0096,0.3217,-0.1169,-0.0008,-0.0815,0.0037,0.0207,0.0066,0.0273,0.0032,0.0075,-0.006,-0.0289,0.021,0.03,0.0325,0.0139,0.0213,-0.0118,-0.2838,0.0643,-0.1079,0.7116,0.4465,2.2873,-1.1422,-2.4372,-0.4714,4.1053,-2.3263,-0.5938,-5.5761,-12.933,-1.4183,25.9128,-6.8763,-0.5594,-7.7992,0.326,1.6751,0.7521,2.3686,0.2097,0.5321,-0.7037,-2.3621,2.2687,2.4219,2.6249,1.4942,1.5763,-1.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.410185409893954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.158168524459095,-1.0,-1.0,-1.0,8.56888681932817,-1.0,10.868413728044581,6.873573540761973,8.780139175786934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0957531156805285,-0.004214102835592799,2.6291581245002558
